sid,"S1.W1
Monday (03-10-2022)
14:00 - 16:00
Lecture
CC012
","S1.W1
Thursday (06-10-2022)
09:00 - 11:00
Computer Lab
N001...
","S1.W1
Thursday (06-10-2022)
11:00 - 13:00
Computer Lab
N001...
","S1.W2
Monday (10-10-2022)
14:00 - 16:00
Lecture
CC012
","S1.W2
Thursday (13-10-2022)
09:00 - 11:00
Computer Lab
N001...
","S1.W2
Thursday (13-10-2022)
11:00 - 13:00
Computer Lab
N001...
","S1.W3
Monday (17-10-2022)
14:00 - 16:00
Lecture
CC012
","S1.W3
Thursday (20-10-2022)
09:00 - 11:00
Computer Lab
N001...
","S1.W3
Thursday (20-10-2022)
11:00 - 13:00
Computer Lab
N001...
","S1.W4
Monday (24-10-2022)
14:00 - 16:00
Lecture
CC012
","S1.W4
Thursday (27-10-2022)
09:00 - 11:00
Computer Lab
N001...
","S1.W4
Thursday (27-10-2022)
11:00 - 13:00
Computer Lab
N001...
","S1.W4
Friday (28-10-2022)
12:00 - 13:00
Personal Best
CC011
","S1.W5
Monday (31-10-2022)
14:00 - 16:00
Lecture
CC012
","S1.W5
Tuesday (01-11-2022)
10:00 - 11:00
Drop in session
WAV001
[Excluded]","S1.W5
Tuesday (01-11-2022)
10:00 - 11:00
Drop in session
WAV001
[Excluded].1","S1.W5
Thursday (03-11-2022)
09:00 - 11:00
Test
N001...
","S1.W5
Thursday (03-11-2022)
11:00 - 13:00
Test
N001...
","S1.W6
Monday (07-11-2022)
14:00 - 16:00
Lecture
CC012
"
0,GPS,GPS,,GPS,X,,X,X,,GPS,X,,X,X,,,GPS,,X
1,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,,GPS,,GPS
2,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,X,X,,,GPS,,GPS
3,,,,,X,X,X,,GPS,X,,GPS,GPS,GPS,,,,GPS,GPS
4,GPS,GPS,,GPS,X,,GPS,X,,Ex,Ex,,GPS,GPS,,,X,,GPS
5,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,X,,,,GPS,GPS
6,GPS,,GPS,GPS,,X,GPS,,X,Ex,,X,GPS,GPS,,,,GPS,GPS
7,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,GPS,,,X,,X
8,GPS,GPS,,GPS,X,,GPS,Ex,,GPS,GPS,,GPS,GPS,,,X,,X
9,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,GPS,,,,GPS,GPS
10,GPS,GPS,,GPS,GPS,,X,X,,X,X,,GPS,GPS,,,X,,GPS
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
